nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y,x
0,0.7663283,-0.80545026,0.208163,-0.2187454,-0.33449304,-0.05725796,-0.7471406,1.4252982,0.09262568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.7644263,-0.80451167,0.19784501,0.006025402,-0.33768883,-0.007190535,-0.5638345,1.6992847,-0.5719149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.76495093,-0.8093043,0.19516973,0.111486584,-0.14274544,-0.1190433,-0.31648353,1.7670705,-0.5081693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.76921564,-0.81810224,0.18799613,0.33093104,-0.48576057,-0.10519486,-0.17283143,1.4929343,0.31663316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.76719564,-0.8277067,0.18052931,0.4406533,-0.7339672,-0.25646242,0.38561612,1.3684359,-0.2347814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.77837676,-0.83626723,0.17312014,0.03691807,-0.32810146,-0.41412154,0.6362591,0.49724576,-0.16295536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.79706573,-0.83167094,0.17935394,0.05076651,-0.2545982,-0.32144353,-0.18136078,-0.16115971,0.83542675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8008355,-0.837915,0.16927952,0.28832048,-0.5336975,0.023702133,0.025737667,-0.8590695,-0.07796119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.7849473,-0.8378714,0.1522553,-0.28585705,-0.18216021,0.11638014,0.59855044,-0.29987377,-1.4625579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.77750474,-0.8227396,0.1501711,-1.0219548,0.008522116,0.16431704,-0.079008654,0.14664486,0.7353192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.7439693,-0.79461116,0.12660387,-0.54152054,-0.32277513,0.31984565,1.0613796,0.49694648,0.54647654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.71482974,-0.7926869,0.102982156,-0.032324117,-0.2961435,0.050333746,2.0669444,1.2223896,-0.83258367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.70785123,-0.78686255,0.09429609,-0.31035814,-0.32384038,-0.21811289,1.3226469,0.34671032,0.32202014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.7203096,-0.76528573,0.08246943,-0.55963004,-0.32490566,0.09614012,-0.52373165,-1.7037737,0.9825205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.7095177,-0.7562049,0.07042382,-0.08558734,-0.7115966,-0.17337179,0.98102415,-1.2475287,1.5378257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.7366804,-0.7563703,0.05645275,0.3415837,-0.79894835,-0.6516755,0.6075287,-0.9805752,1.7533039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.77874035,-0.7691283,0.05934094,0.6963168,-0.48149952,-0.57284594,-0.84021515,-1.0512042,1.6584336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.80666494,-0.7994188,0.069055334,1.0691593,-0.19174759,-0.3683152,-0.7333739,-1.4013562,0.25722703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.81282836,-0.8147819,0.07520742,0.84332323,-0.18322548,-0.22237395,-0.786196,-0.59346277,-0.22849663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.81861794,-0.8429482,0.076634146,0.7421231,-0.40586576,-0.39920783,0.36780924,-0.27623102,-0.8964789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.8566492,-0.85555375,0.08538036,0.2787331,-0.6146576,-0.68682927,-1.1200374,-1.1971009,-0.14380173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.8871734,-0.85785156,0.09955181,0.06568021,-0.025566347,0.0695085,-3.1585505,-1.054197,-0.76584524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.8485657,-0.873439,0.07636079,0.5418534,-0.008522116,0.8002799,-0.5410896,-1.4565724,-1.7374423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
