nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,-2.6077137,-0.91776365,-0.29851028,-0.20618805,0.16618018,-0.039974846,1.5303438,7.7051396,6.133945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-2.5997512,-0.9085546,-0.2831176,-0.062377356,0.026630545,-0.017604293,1.3735236,7.5566993,6.030994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-2.6011992,-0.9080224,-0.28271064,-0.057051037,0.0063905213,0.0047662593,1.6129438,7.5411367,5.9962783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-2.602846,-0.9072251,-0.28245196,-0.06557315,0.05219689,-0.006951649,1.7087119,7.5710645,6.179435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-2.6042857,-0.90675235,-0.28138897,-0.009114136,0.043674774,-0.009082179,1.4082395,7.5495167,6.033388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-2.604938,-0.9065895,-0.280691,0.005799566,-0.026632676,0.022875754,1.4752772,7.5974007,5.8634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-2.6103208,-0.904061,-0.2878303,-0.0581163,0.040478982,0.015418904,1.8475755,7.65965,5.9639564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-2.6103036,-0.9036698,-0.2871713,-0.076225795,0.08522009,-0.032517996,1.5710453,7.6069775,6.029797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-2.6102595,-0.9033611,-0.2864249,-0.06983421,0.03941372,-0.02399588,1.5099931,7.5124063,5.9172697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-2.6107512,-0.9028286,-0.2854768,-0.1273529,0.04261271,-0.02399801,1.4824598,7.5243773,6.0836663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-2.6028035,-0.88788074,-0.27002114,-0.11456972,0.07244011,-0.010149573,1.5291467,7.495647,6.131551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-2.6039782,-0.8873914,-0.269218,-0.12096131,0.096941195,-0.018671688,1.4597149,7.4932528,6.2380924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-2.605103,-0.88689756,-0.26828638,-0.09965602,0.10120225,-0.00695378,1.4046482,7.429806,6.2045736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
