nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,-3.1286662,-0.70388705,-0.29746413,-0.08494978,0.02317536,-0.05958743,2.0031986,6.2099605,7.3789296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-3.1130698,-0.69478935,-0.27974,-0.07429713,0.06898173,-0.08621904,1.9098247,6.1967926,7.4567413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-3.1136272,-0.6942177,-0.27929825,-0.059383433,0.0040006004,-0.09687168,1.934964,5.969343,7.3430166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-3.1152956,-0.6939575,-0.27832478,-0.10838559,0.010392187,-0.09367589,1.7314568,6.1405287,7.374141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-3.1171331,-0.69337064,-0.27723643,-0.097732954,0.091352284,-0.08089272,1.757793,6.202778,7.7189064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-3.102264,-0.69007915,-0.26283243,-0.045534994,0.015718509,-0.08515377,1.7146974,6.1477113,7.463924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-3.1035948,-0.68965757,-0.2620473,-0.068970814,8.048073E-4,-0.09367589,1.709909,6.097433,7.5201874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-3.1052303,-0.6891421,-0.26110867,-0.058318168,0.055133294,-0.09900221,1.6656162,6.1046157,7.6231384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-3.105467,-0.6892662,-0.26051602,-0.049801644,0.09880594,-0.11497932,1.6847697,6.127361,7.147889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-3.106495,-0.6886866,-0.25949404,-0.17550285,0.2106587,-0.14480671,1.5746366,5.881955,7.4088573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-3.078148,-0.6672867,-0.21079919,-0.1797639,0.17870077,-0.122436166,1.2562077,5.846042,7.705738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-3.081709,-0.6669597,-0.20942535,-0.07962905,0.0849575,-0.06491189,1.0945991,5.8867435,7.6506715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-3.084447,-0.6667348,-0.20846064,-0.072172195,-0.007720504,-0.0073876088,1.2346599,5.917868,7.5932107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,-3.0858376,-0.6663259,-0.2077971,-0.0870859,0.005062669,0.008591358,1.3555671,5.8639984,7.654263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-3.0853019,-0.6521502,-0.2009771,-0.12756595,0.07430486,0.011787151,1.4441526,5.7383027,7.5968018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-3.0867102,-0.65162206,-0.20011258,-0.1382186,0.12650281,0.02350506,1.2693758,5.8388596,7.979874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-3.088262,-0.6515661,-0.19914714,-0.015713183,0.047673248,0.05013667,1.1915642,5.9741316,7.787141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,-3.0873005,-0.6518089,-0.19929487,-0.025300562,-0.036482643,0.06824616,1.5483003,5.9047,7.3897038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-3.0870206,-0.65156823,-0.19920282,-0.09986907,0.06045642,0.020309266,1.5147815,5.8268886,7.681796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,-3.086916,-0.63858885,-0.18792078,-0.057258494,0.06365221,0.03628823,1.2945149,5.817312,7.526173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-3.0859609,-0.6388821,-0.18825084,-0.11371751,0.029563751,0.044810347,1.5518916,5.8508306,7.4854717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,-3.0847769,-0.638613,-0.18878552,-0.17763337,0.09880594,-0.029758161,1.6739959,5.6664767,7.666234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,-3.0848246,-0.63834834,-0.18872742,-0.18082917,0.15206917,-0.047867656,1.4549265,5.6844335,7.7368627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,-3.0744364,-0.6184739,-0.16254266,-0.17763337,0.15313442,-0.04147607,1.4980221,5.8244944,7.7213006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,-3.0741665,-0.6184845,-0.16327742,-0.20319973,0.047673248,-0.13521934,1.5985786,5.752668,7.9152308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,-3.0751286,-0.61856985,-0.1633209,-0.07216661,-0.20692176,-0.23748659,1.3136685,5.727529,7.867347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,-3.0764556,-0.61904085,-0.16319151,-0.031686556,-0.32623136,-0.17463599,1.1736077,5.6185927,7.4208283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,-3.076703,-0.61940384,-0.16320606,-0.21491204,-0.071633175,-0.09687168,1.2466309,5.6545057,7.536947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,-3.05757,-0.58907676,-0.15492351,-0.25219628,-0.026892068,-0.088349566,1.1556512,5.547964,8.462306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,-3.057168,-0.58919024,-0.1555061,-0.113711916,-0.31451347,-0.08621904,1.4657004,5.41748,7.8733325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
