nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,-2.9403162,-0.47200212,-0.26983342,-0.28219253,0.22451113,-0.099384114,2.6548705,5.081843,8.019079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-2.919878,-0.44452673,-0.23841399,-0.21508089,0.10626678,-0.09725358,2.4310126,5.0411415,8.20463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-2.9234445,-0.44597462,-0.23938426,-0.10003232,-0.04180497,-0.07701356,2.4202387,4.861576,8.202236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-2.9265347,-0.4475322,-0.24050218,-0.10216285,-0.01517336,-0.068491444,2.4453778,4.8543935,8.03943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-2.9290824,-0.44896638,-0.2418181,-0.14477342,0.07324359,-0.056773532,2.5818472,4.893898,8.163929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-2.9169724,-0.43776953,-0.22868654,-0.11707655,0.05939515,-0.07807882,2.5267806,4.9226284,8.245332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-2.920347,-0.43951532,-0.22994933,-0.094706,0.06152568,-0.07914409,2.4405894,4.9142485,8.124424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-2.9232347,-0.4411066,-0.23111674,-0.11388076,0.04980777,-0.083405145,2.3879168,4.79813,8.051401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-2.9267042,-0.44240084,-0.23198272,-0.103228115,0.035959333,-0.081274614,2.331653,4.765808,8.282441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-2.9300926,-0.44354102,-0.23284465,-0.07340071,0.033828802,-0.051447213,2.3615806,4.743063,8.367435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-2.9247925,-0.43960005,-0.22590142,-0.044638574,0.035959333,-0.035468247,2.3340473,4.7478514,8.208221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-2.9275327,-0.4410737,-0.22681707,-0.048900962,0.044480916,-0.030141657,2.282572,4.7945385,8.193856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-2.9299266,-0.4425409,-0.22781447,-0.04144411,0.02424089,-0.03120692,2.317288,4.7945385,8.160337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,-2.9320016,-0.4438936,-0.22891863,-0.051031493,0.0103924535,-0.024815334,2.379537,4.7682023,8.181885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-2.9258578,-0.4386739,-0.22291519,-0.05955361,0.028501948,-0.0407943,2.377143,4.739472,8.242937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-2.9278617,-0.44007128,-0.22392467,-0.052096758,0.068982,-0.061034326,2.3077111,4.7646112,8.229769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-2.9305158,-0.4412926,-0.22463296,-0.05529255,0.05726409,-0.051446944,2.2047606,4.709544,8.309975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,-2.9331129,-0.44246992,-0.22533104,-0.015877767,-0.0077170418,-0.030141657,2.186804,4.656872,8.235755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-2.935378,-0.44364756,-0.22613564,-0.023334617,0.0103924535,-0.0258806,2.233491,4.6640544,8.211813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,-2.9326909,-0.44164,-0.22038434,-0.04144411,0.03382827,-0.02375007,2.2406735,4.7574286,8.414123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-2.9336598,-0.44288757,-0.22149734,0.005427522,-0.0034559842,-0.030141657,2.3603835,4.7765822,8.33272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,-2.9346163,-0.44424325,-0.2225553,-0.013747238,0.04767671,-0.04505536,2.2957401,4.7466545,8.155549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,-2.9367583,-0.44555533,-0.22308499,-0.037183054,0.05832935,-0.047185887,2.0838532,4.727501,8.193856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,-2.9346933,-0.44331664,-0.22120357,-0.032921996,0.0029356026,-0.02375007,2.0347722,4.727501,8.193856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,-2.936664,-0.4443324,-0.22187877,-0.057423078,-0.013043364,-0.008836368,2.1652563,4.6245503,8.307581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,-2.9379315,-0.44492745,-0.22261706,-0.037183054,0.001870338,0.0018162759,2.2873604,4.586243,8.640374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,-2.9389935,-0.44565082,-0.22339575,0.013949637,0.027436685,0.0028815402,2.2753894,4.5934258,8.500314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,-2.9399893,-0.4468063,-0.22408502,0.011819108,0.039154593,-0.0067058397,2.162862,4.671237,8.201038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,-2.9404707,-0.44851467,-0.21971256,0.01605167,0.0061178138,-0.014156032,2.1532853,4.8029184,8.281244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,-2.940871,-0.44986358,-0.22065534,0.02563905,0.0029220204,-0.014156032,2.2167315,4.7682023,8.108862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,-2.941508,-0.4509061,-0.22154376,-0.045733668,0.018900987,-0.03226553,2.222717,4.656872,8.187871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,-2.942906,-0.45176297,-0.2221127,-0.051059987,0.026357837,-0.03759185,2.1389198,4.6532807,8.377012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,-2.9404404,-0.4473888,-0.21512036,-0.040407345,0.05085892,-0.014156032,2.105401,4.659266,8.399757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,-2.941465,-0.44841212,-0.21588196,-0.030819964,0.0455326,7.5766933E-4,2.1520882,4.6772227,8.317158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,-2.9424531,-0.44943509,-0.2166308,-0.012710469,-0.019448532,-0.02054762,2.1556795,4.693982,8.326735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,-2.9418352,-0.45043382,-0.217788,-0.025493642,0.008248342,-0.025873942,2.2729952,4.574272,8.071752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,-2.9418418,-0.4513129,-0.21868248,-0.11391059,0.12755796,-0.059962403,2.2442648,4.66166,8.351873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,-2.9301016,-0.43734822,-0.1971245,-0.08727898,0.059381034,-0.0631582,2.0539258,4.692785,8.624812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,-2.9314291,-0.4385212,-0.19787261,-0.06703895,-0.0066653597,-0.04930976,1.9809027,4.6125793,8.290821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,-2.9326549,-0.43943778,-0.19868445,-0.057451576,-0.032231707,-0.068484515,2.0611084,4.5910316,8.478766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,-2.93361,-0.44055134,-0.19953862,-0.04147261,0.009313607,-0.043983437,2.0658967,4.6664486,8.391377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
