nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
0,2.8661854,-0.7277794,-0.27970508,-0.006882141,-0.015240738,-0.013624466,2.0392613,6.513725,7.4476132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.8643093,-0.7294015,-0.27914912,0.04425055,0.030565633,-8.412926E-4,1.8656816,6.458658,6.8335004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.8627698,-0.7292854,-0.27961224,-0.019665314,-0.014175474,0.022594525,1.9877859,6.5699887,6.875399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.8628762,-0.7288201,-0.2802701,-0.042035867,-0.0035228294,0.003419765,2.1146786,6.6262527,6.9987006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2.8629456,-0.7275443,-0.27900752,-0.042035867,0.03269616,-0.026407639,1.9961656,6.5759745,7.053767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2.8624268,-0.72673655,-0.27654454,-0.0409706,0.03482669,-0.017885523,1.8596961,6.501754,6.959196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.8615906,-0.7248447,-0.2746864,-0.059080098,0.02523931,0.0023545008,1.8776526,6.464644,7.113622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2.861387,-0.7239641,-0.2744925,-0.027122164,0.0039340216,0.0012892362,2.0284874,6.502951,7.161506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2.8605525,-0.7235022,-0.27383104,-0.010077934,0.017782459,-0.009363408,1.9458874,6.518513,7.027431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2.8600366,-0.7231528,-0.27317977,-0.031383224,0.0018034927,-0.006167615,1.9422961,6.4837976,6.9747586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2.8610072,-0.72176784,-0.27211165,-0.05482703,0.03268471,-0.0040264335,1.965041,6.489783,7.06095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2.862745,-0.71968037,-0.2699914,-0.06228388,0.038011033,-0.013613813,2.0069396,6.4957685,7.205799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2.8629396,-0.7190449,-0.2689216,-0.022869097,0.011379421,-0.026396986,1.9015948,6.4275336,7.1758714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2.8631604,-0.7186557,-0.26763055,-0.02393436,0.024162594,-0.011483285,1.8680758,6.446687,7.0717235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2.863112,-0.71764433,-0.26583987,-0.039913327,0.039076295,-8.306399E-4,1.8872294,6.4395046,7.1172132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2.8631532,-0.716499,-0.2647387,-0.029260684,0.0028573056,-0.009352756,1.9075803,6.477812,7.206996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2.8634348,-0.7160129,-0.2642554,-0.017542774,0.008183627,-0.01041802,1.9219455,6.432322,7.1423526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2.8629148,-0.71568054,-0.26351038,-0.021803832,0.024162594,-0.0072222264,1.8752584,6.440702,7.1650977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2.862385,-0.71495193,-0.26257727,-0.02606489,0.008183627,0.0055609467,1.8644845,6.4215484,7.1184106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
